GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EmpCrud,com.example.demo.security.jwt,JwtUtils,85,7,0,0,22,2,3,2,3,2
EmpCrud,com.example.demo.security.jwt,AuthTokenFilter,69,7,8,0,16,2,6,2,2,2
EmpCrud,com.example.demo.security.jwt,AuthEntryPointJwt,10,7,0,0,3,2,1,2,1,2
EmpCrud,com.example.demo.controller,TestController,48,3,0,0,8,1,5,1,5,1
EmpCrud,com.example.demo.controller,DashController,8,3,0,0,2,1,2,1,2,1
EmpCrud,com.example.demo.controller,FileController,63,7,0,0,8,2,7,2,7,2
EmpCrud,com.example.demo.controller,DefectController,45,14,0,0,10,6,5,1,5,1
EmpCrud,com.example.demo.controller,TestCaseController,47,7,0,0,10,2,5,2,5,2
EmpCrud,com.example.demo.controller,AuthController,20,3,0,0,3,1,2,1,2,1
EmpCrud,com.example.demo.controller,ProjectCreationController,76,7,0,0,18,2,7,2,7,2
EmpCrud,com.example.demo.payload.response,JwtResponse,74,0,0,0,29,0,13,0,13,0
EmpCrud,com.example.demo.payload.response,MessageResponse,13,0,0,0,6,0,3,0,3,0
EmpCrud,com.example.demo.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
EmpCrud,com.example.demo.exception,GlobalExceptionHandler,21,3,0,0,5,1,1,1,1,1
EmpCrud,com.example.demo.exception,ExceptionResponse,24,0,0,0,10,0,7,0,7,0
EmpCrud,com.example.demo.security.services,UserDetailsServiceImpl,18,3,0,0,3,1,2,1,2,1
EmpCrud,com.example.demo.security.services,UserDetailsImpl,92,0,6,0,25,0,16,0,13,0
EmpCrud,com.example.demo.payload.request,LoginRequest,17,0,0,0,7,0,5,0,5,0
EmpCrud,com.example.demo.payload.request,SignupRequest,31,0,0,0,13,0,9,0,9,0
EmpCrud,com.example.demo.constants,Constants,3,0,0,0,1,0,1,0,1,0
EmpCrud,com.example.demo.schedulers,ScheduledTasks,80,21,0,0,21,6,2,3,2,3
EmpCrud,com.example.demo.service,UserServices,99,3,4,0,18,1,6,1,4,1
EmpCrud,com.example.demo.service,ProjectService,206,215,26,12,54,52,17,13,1,10
